"название";"дата";"время";" размер"
"anthy-9100hp1.tgz";"25-Feb-2016";"02:11";"      7M"
"antiword-0.37p0.tgz";"25-Feb-2016";"02:11";"    152K"
"antlr3-3.4p2.tgz";"25-Feb-2016";"02:11";"      2M"
"ap-utils-1.5p1.tgz";"25-Feb-2016";"02:11";"    360K"
"ap2-mod_dnssd-0.6p2.tgz";"25-Feb-2016";"02:11";"     12K"
"ap2-mod_jk-1.2.41.tgz";"25-Feb-2016";"02:11";"    172K"
"ap2-mod_perl-2.0.9rc1p3.tgz";"25-Feb-2016";"02:11";"    790K"
"ap2-mod_wsgi-3.4p1.tgz";"25-Feb-2016";"02:11";"     70K"
"ap2-subversion-1.8.15.tgz";"25-Feb-2016";"02:11";"     98K"
"apache-activemq-5.13.0.tgz";"25-Feb-2016";"02:11";"     51M"
"apache-ant-1.9.6.tgz";"25-Feb-2016";"02:11";"      5M"
"apache-couchdb-1.6.1p5.tgz";"25-Feb-2016";"02:11";"      8M"
"apache-httpd-2.4.18p1.tgz";"25-Feb-2016";"02:11";"      6M"
"apache-httpd-common-2.4.18.tgz";"25-Feb-2016";"02:11";"    157K"
"apache-httpd-openbsd-1.3.20140502p6.tgz";"25-Feb-2016";"02:11";"      1M"
"apachetop-0.12.6p0.tgz";"25-Feb-2016";"02:11";"     22K"
"apcd-0.2p0.tgz";"25-Feb-2016";"02:11";"     12K"
"apcupsd-3.14.13p0.tgz";"25-Feb-2016";"02:11";"    332K"
"apcupsd-cgi-3.14.13.tgz";"25-Feb-2016";"02:11";"     31K"
"apcupsd-x11-3.14.13.tgz";"25-Feb-2016";"02:11";"     60K"
"apertium-3.4.0p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-af-nl-0.2.0p0.tgz";"25-Feb-2016";"02:11";"    459K"
"apertium-arg-0.1.2.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-arg-cat-0.1.0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-br-fr-0.5.0p0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-ca-it-0.1.1p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-cat-0.1.1.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-cy-en-0.1.1p0.tgz";"25-Feb-2016";"02:11";"    877K"
"apertium-dan-0.3.0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-dan-nor-1.2.2.tgz";"25-Feb-2016";"02:11";"      5M"
"apertium-en-ca-0.9.3p0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-en-es-0.8.0p0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-en-gl-0.5.2.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-eo-ca-0.9.1p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-eo-en-1.0.0p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-eo-es-1.0.0p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-eo-fr-0.9.0p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-es-ast_NO-PN-1.1.0p0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-es-ca-1.2.1p0.tgz";"25-Feb-2016";"02:11";"      4M"
"apertium-es-gl-1.0.8.tgz";"25-Feb-2016";"02:11";"    669K"
"apertium-es-pt-1.1.0p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-es-ro-0.7.3p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-eu-en-0.3.1p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-eu-es-0.3.3p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-fr-ca-1.0.3.tgz";"25-Feb-2016";"02:11";"    917K"
"apertium-fr-es-0.9.2p0.tgz";"25-Feb-2016";"02:11";"      4M"
"apertium-hbs-0.5.0p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-hbs-eng-0.5.0p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-hbs-slv-0.5.0p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-hin-0.1.0p0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-ht-en-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    201K"
"apertium-id-ms-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    582K"
"apertium-is-en-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    849K"
"apertium-is-sv-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    798K"
"apertium-lex-tools-0.1.0p0.tgz";"25-Feb-2016";"02:11";"     96K"
"apertium-mk-bg-0.2.0p0.tgz";"25-Feb-2016";"02:11";"    554K"
"apertium-mk-en-0.1.1p0.tgz";"25-Feb-2016";"02:11";"    669K"
"apertium-mlt-ara-0.2.0p0.tgz";"25-Feb-2016";"02:11";"    703K"
"apertium-nno-0.5.0.tgz";"25-Feb-2016";"02:11";"      6M"
"apertium-nno-nob-1.0.1p0.tgz";"25-Feb-2016";"02:11";"      5M"
"apertium-nob-0.5.1.tgz";"25-Feb-2016";"02:11";"      8M"
"apertium-oc-ca-1.0.6p0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-oc-es-1.0.6p0.tgz";"25-Feb-2016";"02:11";"      2M"
"apertium-pt-ca-0.8.2p0.tgz";"25-Feb-2016";"02:11";"    552K"
"apertium-pt-gl-0.9.2p0.tgz";"25-Feb-2016";"02:11";"    910K"
"apertium-spa-0.1.0.tgz";"25-Feb-2016";"02:11";"      3M"
"apertium-spa-arg-0.4.0.tgz";"25-Feb-2016";"02:11";"      1M"
"apertium-sv-da-0.5.1.tgz";"25-Feb-2016";"02:11";"    430K"
"apertium-urd-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    470K"
"apertium-urd-hin-0.1.0p0.tgz";"25-Feb-2016";"02:11";"    516K"
"apg-2.2.3p0.tgz";"25-Feb-2016";"02:11";"     66K"
"apktool-2.0.2.tgz";"25-Feb-2016";"02:11";"      6M"
"appstream-glib-0.4.1.tgz";"25-Feb-2016";"02:11";"    464K"
"apr-1.5.2.tgz";"25-Feb-2016";"02:11";"    306K"
"apr-util-1.5.4p0-ldap.tgz";"25-Feb-2016";"02:11";"    233K"
"apr-util-1.5.4p0.tgz";"25-Feb-2016";"02:11";"    221K"
"apsfilter-7.2.8p5.tgz";"25-Feb-2016";"02:11";"    315K"
"apvlv-0.0.9.6p6.tgz";"25-Feb-2016";"02:11";"    131K"
"aqbanking-5.5.1.tgz";"25-Feb-2016";"02:11";"      4M"
"aqsis-1.8.2p1.tgz";"25-Feb-2016";"02:11";"      4M"
"aqualung-1.0v0.tgz";"25-Feb-2016";"02:11";"      1M"
"arabeyes-ttf-2.0p2.tgz";"25-Feb-2016";"02:11";"      2M"
"arabica-2010.11p0.tgz";"25-Feb-2016";"02:11";"    820K"
"arandr-0.1.8.tgz";"25-Feb-2016";"02:11";"     92K"
"arc-5.21p.tgz";"25-Feb-2016";"02:11";"     53K"
"architect-1.0.6p3.tgz";"25-Feb-2016";"02:11";"     22M"
"archivemail-0.9.0.tgz";"25-Feb-2016";"02:11";"     27K"
"archiveopteryx-3.1.3p10.tgz";"25-Feb-2016";"02:11";"     13M"
"ardour-2.8.16p2.tgz";"25-Feb-2016";"02:11";"      6M"
"arduino-1.0.2p5v0.tgz";"25-Feb-2016";"02:11";"      5M"
"arena-0.9.13p2.tgz";"25-Feb-2016";"02:11";"    134K"
"argp-standalone-1.3p0.tgz";"25-Feb-2016";"02:11";"    100K"
"argtable-2.13p0.tgz";"25-Feb-2016";"02:11";"    118K"
"argus-3.0.8.1p0.tgz";"25-Feb-2016";"02:11";"    203K"
"argus-clients-3.0.8.tgz";"25-Feb-2016";"02:11";"     10M"
"argyllcms-1.8.3.tgz";"25-Feb-2016";"02:11";"     25M"
"aria2-1.19.2.tgz";"25-Feb-2016";"02:11";"      2M"
"ario-1.5.1p9.tgz";"25-Feb-2016";"02:11";"    576K"
"ark-4.14.3p2.tgz";"25-Feb-2016";"02:11";"      1M"
"arm-1.4.5.0p1.tgz";"25-Feb-2016";"02:11";"    666K"
"arm-elf-binutils-2.20p1.tgz";"25-Feb-2016";"02:11";"      5M"
"arm-elf-gdb-7.1p2.tgz";"25-Feb-2016";"02:11";"      4M"
"arm-none-eabi-binutils-2.25.tgz";"25-Feb-2016";"02:11";"      6M"
"arm-none-eabi-gcc-linaro-4.9.2015.03.tgz";"25-Feb-2016";"02:11";"    174M"
"arm-none-eabi-gdb-7.9.1p1.tgz";"25-Feb-2016";"02:11";"      3M"
"arm-none-eabi-newlib-2.2.0.1.tgz";"25-Feb-2016";"02:11";"      8M"
"armagetronad-0.2.8.3.3.tgz";"25-Feb-2016";"02:11";"      2M"
"arora-0.11.0p7.tgz";"25-Feb-2016";"02:11";"      2M"
"arp-scan-1.9p12.tgz";"25-Feb-2016";"02:11";"     46K"
"arpack-96p4.tgz";"25-Feb-2016";"02:11";"    807K"
"arpcatch-19970824p0.tgz";"25-Feb-2016";"02:11";9960
"arpd-0.2p4.tgz";"25-Feb-2016";"02:11";8578
"arping-2.16.tgz";"25-Feb-2016";"02:11";"     22K"
"arpwatch-2.1a15p13.tgz";"25-Feb-2016";"02:11";"     24K"
"artikulate-4.14.3p1.tgz";"25-Feb-2016";"02:11";"      3M"
"arts-1.5.10p9.tgz";"25-Feb-2016";"02:11";"      1M"
"artwiz-aleczapka-1.3p6.tgz";"25-Feb-2016";"02:11";"     39K"
"artwiz-aleczapka-de-1.3p4.tgz";"25-Feb-2016";"02:11";"     35K"
"artwiz-aleczapka-se-1.3p4.tgz";"25-Feb-2016";"02:11";"     34K"
"asapm-3.1.tgz";"25-Feb-2016";"02:11";"     24K"
"ascd-0.13.2p5.tgz";"25-Feb-2016";"02:11";"    305K"
"asciidoc-8.6.9p1.tgz";"25-Feb-2016";"02:11";"    215K"
"asciiquarium-1.1p0.tgz";"25-Feb-2016";"02:11";9168
"asclock-2.0.12p1-classic-english.tgz";"25-Feb-2016";"02:11";"     25K"
"asfiles-1.0p2.tgz";"25-Feb-2016";"02:11";"    161K"
"asm-3.3.1p0.tgz";"25-Feb-2016";"02:11";"    992K"
"asm6-1.6.tgz";"25-Feb-2016";"02:11";"     18K"
"asmail-0.56p4.tgz";"25-Feb-2016";"02:11";"    208K"
"aspell-0.60.6.1p2.tgz";"25-Feb-2016";"02:11";"      3M"
"aspell-af-0.50.0v1.tgz";"25-Feb-2016";"02:11";"   1000K"
"aspell-ar-1.2.0v1.tgz";"25-Feb-2016";"02:11";"      7M"
"aspell-bg-4.1.0v1.tgz";"25-Feb-2016";"02:11";"    974K"
"aspell-br-0.50.2v1.tgz";"25-Feb-2016";"02:11";"    384K"
"aspell-ca-2.1.5.1v1.tgz";"25-Feb-2016";"02:11";"      1M"
"aspell-cs-20040614.1v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-cy-0.50.3v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-da-1.4.42.1v1.tgz";"25-Feb-2016";"02:11";"      4M"
"aspell-de-20030222.1v1.tgz";"25-Feb-2016";"02:11";"      4M"
"aspell-el-0.50.3v1.tgz";"25-Feb-2016";"02:11";"      4M"
"aspell-eo-2.1.20000225a.2p0v1.tgz";"25-Feb-2016";"02:11";"    188K"
"aspell-es-1.11.2v1.tgz";"25-Feb-2016";"02:11";"    538K"
"aspell-fa-0.11.0v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-fo-0.2.16.1v1.tgz";"25-Feb-2016";"02:11";"      1M"
"aspell-fr-0.50.3v1.tgz";"25-Feb-2016";"02:11";"      6M"
"aspell-ga-4.5.0v1.tgz";"25-Feb-2016";"02:11";"      3M"
"aspell-gl-0.5a.2v1.tgz";"25-Feb-2016";"02:11";"    342K"
"aspell-he-1.0.0v1.tgz";"25-Feb-2016";"02:11";"      3M"
"aspell-ia-0.50.1v1.tgz";"25-Feb-2016";"02:11";"    702K"
"aspell-id-1.2.0v1.tgz";"25-Feb-2016";"02:11";"    253K"
"aspell-is-0.51.1.0v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-it-2.2_20050523.0v1.tgz";"25-Feb-2016";"02:11";"    770K"
"aspell-lt-1.2.1.0v1.tgz";"25-Feb-2016";"02:11";"    824K"
"aspell-mi-0.50.0v1.tgz";"25-Feb-2016";"02:11";"    170K"
"aspell-ms-0.50.0v1.tgz";"25-Feb-2016";"02:11";"    133K"
"aspell-mt-0.50.0v1.tgz";"25-Feb-2016";"02:11";"      8M"
"aspell-nb-0.50.1.0v1.tgz";"25-Feb-2016";"02:11";"      4M"
"aspell-nl-0.50.2v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-nn-0.50.1.1v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-pl-6.0_20061121.0v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-pt-0.50.2v1.tgz";"25-Feb-2016";"02:11";"      3M"
"aspell-ro-3.3.2v1.tgz";"25-Feb-2016";"02:11";"     13M"
"aspell-ru-0.99f7.1p0v1.tgz";"25-Feb-2016";"02:11";"      2M"
"aspell-sk-2.01.2v1.tgz";"25-Feb-2016";"02:11";"      1M"
"aspell-sl-0.50.0v1.tgz";"25-Feb-2016";"02:11";"      7M"
"aspell-sr-0.02v1.tgz";"25-Feb-2016";"02:11";"      4M"
"aspell-sv-0.51.0v1.tgz";"25-Feb-2016";"02:11";"      1M"
"aspell-sw-0.50.0v1.tgz";"25-Feb-2016";"02:11";"    352K"
"aspell-tn-1.0.1.0v1.tgz";"25-Feb-2016";"02:11";"     52K"
"aspell-tr-0.50.0v1.tgz";"25-Feb-2016";"02:11";"    609K"
"aspell-uk-1.4.0.0v1.tgz";"25-Feb-2016";"02:11";"    853K"
"aspell-wa-0.50.0v1.tgz";"25-Feb-2016";"02:11";"      1M"
"aspell-zu-0.50.0v1.tgz";"25-Feb-2016";"02:11";"    571K"
"asql-1.7.tgz";"25-Feb-2016";"02:11";"     13K"
"assl-1.5.0p0v0.tgz";"25-Feb-2016";"02:11";"     53K"
"asterisk-13.7.1-imap.tgz";"25-Feb-2016";"02:11";"     12M"
"asterisk-13.7.1.tgz";"25-Feb-2016";"02:11";"     12M"
"asterisk-calendar-13.7.1.tgz";"25-Feb-2016";"02:11";"    215K"
"asterisk-core-sounds-en-alaw-1.5.tgz";"25-Feb-2016";"02:11";"      9M"
"asterisk-core-sounds-en-g722-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-en-g729-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-en-gsm-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-en-ulaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-en-wav-1.5.tgz";"25-Feb-2016";"02:11";"     19M"
"asterisk-core-sounds-en_AU-alaw-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      6M"
"asterisk-core-sounds-en_AU-g722-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      7M"
"asterisk-core-sounds-en_AU-g729-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      1M"
"asterisk-core-sounds-en_AU-gsm-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-en_AU-ulaw-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      7M"
"asterisk-core-sounds-en_AU-wav-1.4.27p2.tgz";"25-Feb-2016";"02:11";"     12M"
"asterisk-core-sounds-en_GB-alaw-1.5.tgz";"25-Feb-2016";"02:11";"      9M"
"asterisk-core-sounds-en_GB-g722-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-en_GB-g729-1.5.tgz";"25-Feb-2016";"02:11";"      1M"
"asterisk-core-sounds-en_GB-gsm-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-en_GB-ulaw-1.5.tgz";"25-Feb-2016";"02:11";"      9M"
"asterisk-core-sounds-en_GB-wav-1.5.tgz";"25-Feb-2016";"02:11";"     18M"
"asterisk-core-sounds-es-alaw-1.4.27p2.tgz";"25-Feb-2016";"02:11";"     12M"
"asterisk-core-sounds-es-g722-1.4.27p2.tgz";"25-Feb-2016";"02:11";"     13M"
"asterisk-core-sounds-es-g729-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-es-gsm-1.4.27p2.tgz";"25-Feb-2016";"02:11";"      3M"
"asterisk-core-sounds-es-ulaw-1.4.27p2.tgz";"25-Feb-2016";"02:11";"     12M"
"asterisk-core-sounds-es-wav-1.4.27p2.tgz";"25-Feb-2016";"02:11";"     25M"
"asterisk-core-sounds-fr-alaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-fr-g722-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-fr-g729-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-fr-gsm-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-fr-ulaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-fr-wav-1.5.tgz";"25-Feb-2016";"02:11";"     19M"
"asterisk-core-sounds-it-alaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-it-g722-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-it-g729-1.5.tgz";"25-Feb-2016";"02:11";"      1M"
"asterisk-core-sounds-it-gsm-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-it-ulaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-it-wav-1.5.tgz";"25-Feb-2016";"02:11";"     19M"
"asterisk-core-sounds-ja-alaw-1.5.tgz";"25-Feb-2016";"02:11";"      9M"
"asterisk-core-sounds-ja-g722-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-ja-g729-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-ja-gsm-1.5.tgz";"25-Feb-2016";"02:11";"      2M"
"asterisk-core-sounds-ja-ulaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
"asterisk-core-sounds-ja-wav-1.5.tgz";"25-Feb-2016";"02:11";"     20M"
"asterisk-core-sounds-ru-alaw-1.5.tgz";"25-Feb-2016";"02:11";"     10M"
